CourseID,Teacher,Semester,AssignmentNo,subjectID,SubmissionNo,SubmissionTime,Lines of Code,severity,category,ClassName,FileName,MethodName,Line,Col,Error
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,1,compiler_error,,Level6Solution.java,,34,,SEMICOLONEXPECTED
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,static_analysis_bug,,RainfallAnalyzer.java,,39,23,HiddenField
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,instructor_test_failed,DroughtRefTest,DroughtRefTest.java,test9,176,,AssertionFailed
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,instructor_test_failed,DroughtRefTest,DroughtRefTest.java,test10,196,,AssertionFailed
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,instructor_test_failed,DroughtRefTest,DroughtRefTest.java,test18,329,,ComparisonFailure
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,instructor_test_failed,DroughtRefTest,DroughtRefTest.java,test19,362,,ComparisonFailure
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,instructor_test_failed,DroughtRefTest,DroughtRefTest.java,test23,514,,AssertionFailed
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,2,instructor_test_failed,DroughtRefTest,DroughtRefTest.java,test24,570,,AssertionFailed
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,3,student_test_coverage,RainfallAnalyzer,,<init>,38,,UNCHECKINSTRUCTION
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,3,student_test_coverage,RainfallAnalyzer,,<init>,38,,UNCHECKBRANCH
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,3,student_test_coverage,RainfallAnalyzer,,<init>,38,,UNCHECKLINE
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,3,student_test_coverage,RainfallAnalyzer,,<init>,38,,UNCHECKCOMPLEXITY
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,3,student_test_coverage,RainfallAnalyzer,,<init>,38,,UNCHECKMETHOD
12751,Miller ,Fall 2020,Lab01,s00001,1,10/08/20 11:00PM,550,3,student_test_coverage,RainfallAnalyzer,,<init>,62,,UNCHECKINSTRUCTION
